 sqrtS=   1086.5551375391567     
 0.09996107243996953 ---   0
 0.10156533006018895 ---  10
 0.10630148012977758 ---  20
 0.11395816225592147 ---  30
 0.12422445875171231 ---  40
 0.13669494665486490 ---  50
 0.15081051381370189 ---  60
 0.16575819845146100 ---  70
 0.18042146363622225 ---  80
 0.19348764791289985 ---  90
 0.20374167021660508 --- 100
 0.21044046828950913 --- 110
 0.21357206985192195 --- 120
 0.21384085596963509 --- 130
 0.21237422053619953 --- 140
 0.21030874636633728 --- 150
 0.20847084674060570 --- 160
 0.20728439453187023 --- 170
 0.20688298139285086 --- 180
