sqrtS= 1086.555
0.09996163398198389 --- 0
0.10156589981856307 --- 10
0.10630207427366796 --- 20
0.11395879621300048 --- 30
0.1242251468056066 --- 40
0.1366957014584647 --- 50
0.150811345493541 --- 60
0.1657591130668973 --- 70
0.1804224612341488 --- 80
0.1934887210620809 --- 90
0.20374280417255067 --- 100
0.21044164340940383 --- 110
0.2135732657224345 --- 120
0.213842055682155 --- 130
0.2123754134020213 --- 140
0.2103099282370119 --- 150
0.2084720183786601 --- 160
0.20728555931610546 --- 170
0.20688414358012253 --- 180
